,avoir,dire,voir,faire,pouvoir,vouloir,jeune,savoir,aller,devoir,regarder,croire,connaître,être,venir,trouver,prendre,petit,aimer,répondre,demander,mettre,parler,suivre,entendre,sentir,comprendre,penser,attendre,tenir,laisser,cher,pauvre,apercevoir,quitter,lever,sortir,passer,reprendre,revenir,donner,chercher,appeler,entrer,rester,arriver,sembler,arrêter,reconnaître,paraître,continuer,demande,retrouver,prier,ouvrir,rencontrer,écrier,tourner,partir,recevoir,songer,interrompre,murmurer,lire,répéter,rendre,vieux,apprendre,revoir,interroger,essayer,ignorer,jeter,écouter,saisir,espérer,remercier,montrer,considérer,ajouter,sourire,tendre,envoyer,bon,sûr,porter,perdre,oublier,conduire,craindre,avancer,demeurer,seul,rejoindre,poursuivre,remarquer,asseoir,tuer,devenir,grand
1931_Simenon-Georges_La-Guinguette-a-deux-sous.book --- james,0.06934306569343066,0.023722627737226276,0.016423357664233577,0.03102189781021898,0.014598540145985401,0.025547445255474453,0.0,0.023722627737226276,0.023722627737226276,0.014598540145985401,0.041970802919708027,0.01824817518248175,0.0036496350364963502,0.025547445255474453,0.020072992700729927,0.010948905109489052,0.0072992700729927005,0.0,0.012773722627737226,0.0036496350364963502,0.0036496350364963502,0.005474452554744526,0.016423357664233577,0.0072992700729927005,0.0072992700729927005,0.0018248175182481751,0.009124087591240875,0.0072992700729927005,0.009124087591240875,0.0036496350364963502,0.0036496350364963502,0.0,0.0,0.005474452554744526,0.0018248175182481751,0.012773722627737226,0.005474452554744526,0.0036496350364963502,0.0072992700729927005,0.0036496350364963502,0.005474452554744526,0.0,0.0036496350364963502,0.0036496350364963502,0.0072992700729927005,0.010948905109489052,0.005474452554744526,0.0018248175182481751,0.0,0.0036496350364963502,0.005474452554744526,0.0036496350364963502,0.0036496350364963502,0.0,0.0036496350364963502,0.005474452554744526,0.0,0.009124087591240875,0.0018248175182481751,0.0,0.0,0.0,0.0036496350364963502,0.0036496350364963502,0.0,0.0018248175182481751,0.0,0.0,0.0018248175182481751,0.0,0.0018248175182481751,0.0,0.0,0.0,0.0036496350364963502,0.0018248175182481751,0.0,0.0018248175182481751,0.0,0.0036496350364963502,0.0,0.0036496350364963502,0.0,0.0,0.0036496350364963502,0.0018248175182481751,0.0036496350364963502,0.0018248175182481751,0.0,0.0,0.0,0.0,0.0036496350364963502,0.005474452554744526,0.0,0.0018248175182481751,0.0018248175182481751,0.0018248175182481751,0.0,0.0018248175182481751
1931_Simenon-Georges_La-Guinguette-a-deux-sous.book --- maigret,0.05973025048169557,0.03275529865125241,0.038535645472061654,0.009633911368015413,0.017341040462427744,0.017341040462427744,0.0,0.017341040462427744,0.011560693641618497,0.011560693641618497,0.04046242774566474,0.007707129094412331,0.009633911368015413,0.011560693641618497,0.005780346820809248,0.015414258188824663,0.011560693641618497,0.0,0.0038535645472061657,0.0038535645472061657,0.01348747591522158,0.011560693641618497,0.0019267822736030828,0.007707129094412331,0.005780346820809248,0.007707129094412331,0.0019267822736030828,0.0038535645472061657,0.017341040462427744,0.0038535645472061657,0.0019267822736030828,0.0,0.0,0.019267822736030827,0.0038535645472061657,0.011560693641618497,0.007707129094412331,0.0038535645472061657,0.0019267822736030828,0.0038535645472061657,0.0,0.007707129094412331,0.005780346820809248,0.007707129094412331,0.011560693641618497,0.007707129094412331,0.0,0.0,0.0038535645472061657,0.0019267822736030828,0.0019267822736030828,0.0019267822736030828,0.0019267822736030828,0.0019267822736030828,0.007707129094412331,0.0019267822736030828,0.0,0.0038535645472061657,0.0019267822736030828,0.0,0.0,0.0,0.0038535645472061657,0.0038535645472061657,0.0,0.0,0.0019267822736030828,0.0019267822736030828,0.0038535645472061657,0.0019267822736030828,0.0019267822736030828,0.0,0.005780346820809248,0.0,0.0,0.0019267822736030828,0.0019267822736030828,0.0038535645472061657,0.0,0.0,0.0019267822736030828,0.0038535645472061657,0.005780346820809248,0.0,0.0,0.0,0.0038535645472061657,0.0038535645472061657,0.007707129094412331,0.0,0.0019267822736030828,0.0,0.0038535645472061657,0.0,0.0038535645472061657,0.0038535645472061657,0.005780346820809248,0.0,0.0,0.0
1931_Simenon-Georges_La-Guinguette-a-deux-sous.book --- basso,0.043256997455470736,0.01272264631043257,0.020356234096692113,0.01272264631043257,0.010178117048346057,0.020356234096692113,0.005089058524173028,0.017811704834605598,0.02544529262086514,0.010178117048346057,0.02544529262086514,0.007633587786259542,0.01272264631043257,0.020356234096692113,0.005089058524173028,0.002544529262086514,0.010178117048346057,0.002544529262086514,0.015267175572519083,0.005089058524173028,0.010178117048346057,0.0,0.007633587786259542,0.005089058524173028,0.007633587786259542,0.010178117048346057,0.010178117048346057,0.005089058524173028,0.005089058524173028,0.007633587786259542,0.002544529262086514,0.0,0.0,0.002544529262086514,0.0,0.01272264631043257,0.0,0.002544529262086514,0.002544529262086514,0.0,0.005089058524173028,0.007633587786259542,0.0,0.002544529262086514,0.007633587786259542,0.002544529262086514,0.007633587786259542,0.010178117048346057,0.002544529262086514,0.0,0.0,0.002544529262086514,0.002544529262086514,0.0,0.002544529262086514,0.010178117048346057,0.0,0.0,0.0,0.0,0.0,0.0,0.005089058524173028,0.002544529262086514,0.0,0.007633587786259542,0.002544529262086514,0.0,0.0,0.0,0.005089058524173028,0.0,0.0,0.007633587786259542,0.005089058524173028,0.002544529262086514,0.0,0.0,0.0,0.002544529262086514,0.002544529262086514,0.002544529262086514,0.0,0.002544529262086514,0.005089058524173028,0.005089058524173028,0.002544529262086514,0.002544529262086514,0.005089058524173028,0.002544529262086514,0.0,0.0,0.0,0.0,0.007633587786259542,0.002544529262086514,0.002544529262086514,0.017811704834605598,0.005089058524173028,0.0
1931_Simenon-Georges_La-Guinguette-a-deux-sous.book --- victor,0.05925925925925926,0.037037037037037035,0.022222222222222223,0.022222222222222223,0.03333333333333333,0.014814814814814815,0.0,0.037037037037037035,0.011111111111111112,0.018518518518518517,0.025925925925925925,0.014814814814814815,0.025925925925925925,0.003703703703703704,0.011111111111111112,0.007407407407407408,0.014814814814814815,0.011111111111111112,0.0,0.0,0.003703703703703704,0.011111111111111112,0.011111111111111112,0.007407407407407408,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.007407407407407408,0.0,0.003703703703703704,0.011111111111111112,0.003703703703703704,0.003703703703703704,0.007407407407407408,0.007407407407407408,0.003703703703703704,0.007407407407407408,0.0,0.007407407407407408,0.003703703703703704,0.003703703703703704,0.0,0.0,0.003703703703703704,0.0,0.0,0.007407407407407408,0.011111111111111112,0.003703703703703704,0.011111111111111112,0.003703703703703704,0.011111111111111112,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.003703703703703704,0.0,0.0,0.0,0.003703703703703704,0.0,0.0,0.0,0.0,0.003703703703703704,0.003703703703703704,0.0,0.0,0.0,0.003703703703703704,0.003703703703703704,0.0,0.003703703703703704,0.003703703703703704,0.0,0.0,0.003703703703703704,0.0,0.0,0.0,0.007407407407407408,0.0,0.003703703703703704,0.0,0.0,0.0,0.0,0.0,0.003703703703703704,0.0,0.003703703703703704,0.0,0.0,0.007407407407407408
1931_Simenon-Georges_La-Guinguette-a-deux-sous.book --- mme basso,0.04897959183673469,0.036734693877551024,0.0326530612244898,0.036734693877551024,0.012244897959183673,0.012244897959183673,0.012244897959183673,0.012244897959183673,0.02857142857142857,0.0163265306122449,0.02040816326530612,0.00816326530612245,0.0163265306122449,0.0163265306122449,0.00816326530612245,0.00816326530612245,0.004081632653061225,0.004081632653061225,0.012244897959183673,0.0,0.012244897959183673,0.0,0.00816326530612245,0.0,0.004081632653061225,0.0,0.00816326530612245,0.004081632653061225,0.00816326530612245,0.0,0.004081632653061225,0.0,0.0,0.0,0.0,0.0,0.004081632653061225,0.004081632653061225,0.00816326530612245,0.0,0.0,0.00816326530612245,0.004081632653061225,0.0,0.004081632653061225,0.0,0.0,0.0,0.004081632653061225,0.004081632653061225,0.0,0.0,0.004081632653061225,0.0,0.0,0.0,0.0,0.0,0.004081632653061225,0.0,0.0,0.0,0.004081632653061225,0.004081632653061225,0.0,0.004081632653061225,0.02857142857142857,0.0,0.0,0.0,0.0,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.0,0.0,0.004081632653061225,0.004081632653061225,0.0,0.0,0.0,0.004081632653061225,0.0,0.0,0.0,0.0,0.004081632653061225,0.004081632653061225,0.0,0.004081632653061225,0.0,0.0,0.004081632653061225,0.0,0.0,0.004081632653061225,0.0,0.0,0.004081632653061225
1931_Simenon-Georges_La-Guinguette-a-deux-sous.book --- m. basso,0.05339805825242718,0.009708737864077669,0.02912621359223301,0.024271844660194174,0.019417475728155338,0.03398058252427184,0.009708737864077669,0.02912621359223301,0.0,0.019417475728155338,0.019417475728155338,0.019417475728155338,0.014563106796116505,0.009708737864077669,0.009708737864077669,0.014563106796116505,0.009708737864077669,0.0,0.0,0.014563106796116505,0.0048543689320388345,0.0,0.0048543689320388345,0.0048543689320388345,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0048543689320388345,0.0048543689320388345,0.0,0.009708737864077669,0.0048543689320388345,0.014563106796116505,0.0,0.0,0.0,0.0048543689320388345,0.0048543689320388345,0.009708737864077669,0.0,0.0048543689320388345,0.0048543689320388345,0.0048543689320388345,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0048543689320388345,0.014563106796116505,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0048543689320388345,0.024271844660194174,0.0,0.0048543689320388345
1931_Simenon-Georges_La-Guinguette-a-deux-sous.book --- lenoir,0.06289308176100629,0.031446540880503145,0.012578616352201259,0.03773584905660377,0.018867924528301886,0.012578616352201259,0.025157232704402517,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.012578616352201259,0.006289308176100629,0.012578616352201259,0.012578616352201259,0.0,0.006289308176100629,0.006289308176100629,0.0,0.0,0.0,0.0,0.03773584905660377,0.03773584905660377,0.006289308176100629,0.006289308176100629,0.006289308176100629,0.006289308176100629,0.0,0.012578616352201259,0.0,0.006289308176100629,0.0,0.0,0.018867924528301886,0.0,0.006289308176100629,0.025157232704402517,0.012578616352201259,0.0,0.0,0.006289308176100629,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.012578616352201259,0.012578616352201259,0.0,0.006289308176100629,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.006289308176100629,0.012578616352201259,0.006289308176100629,0.006289308176100629
1931_Simenon-Georges_La-Guinguette-a-deux-sous.book --- marcel,0.05434782608695652,0.0,0.07608695652173914,0.03260869565217391,0.0,0.010869565217391304,0.021739130434782608,0.021739130434782608,0.010869565217391304,0.043478260869565216,0.021739130434782608,0.0,0.0,0.043478260869565216,0.021739130434782608,0.010869565217391304,0.021739130434782608,0.0,0.010869565217391304,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.010869565217391304,0.0,0.0,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.0,0.0,0.03260869565217391,0.010869565217391304,0.010869565217391304,0.0,0.0,0.010869565217391304,0.0,0.010869565217391304,0.021739130434782608,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304
1931_Simenon-Georges_La-Guinguette-a-deux-sous.book --- char9,0.1375,0.025,0.025,0.0125,0.0125,0.0375,0.0,0.025,0.0,0.0,0.0375,0.0,0.025,0.025,0.0,0.025,0.0125,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.025,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1931_Simenon-Georges_La-Guinguette-a-deux-sous.book --- feinstein,0.09090909090909091,0.0,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.06818181818181818,0.045454545454545456,0.0,0.0,0.0,0.022727272727272728,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.0,0.0
